"Subj" "x0" "x1" "x2"
1 1 2 -0.499
1 1 3 -0.499
1 1 4 -0.499
1 1 5 -0.499
1 1 6 -0.499
1 1 8 -0.499
1 1 9 -0.499
1 1 10 -0.499
2 1 1 1.084
2 1 2 1.084
2 1 3 1.084
2 1 4 1.084
2 1 5 1.084
2 1 6 1.084
2 1 7 1.084
2 1 8 1.084
2 1 9 1.084
3 1 2 -0.647
3 1 3 -0.647
3 1 4 -0.647
3 1 5 -0.647
3 1 6 -0.647
3 1 7 -0.647
3 1 8 -0.647
3 1 9 -0.647
4 1 1 0.663
4 1 2 0.663
4 1 3 0.663
4 1 4 0.663
4 1 5 0.663
4 1 7 0.663
4 1 8 0.663
5 1 1 0.212
5 1 2 0.212
5 1 3 0.212
5 1 4 0.212
5 1 5 0.212
5 1 6 0.212
5 1 7 0.212
5 1 8 0.212
5 1 9 0.212
5 1 10 0.212
6 1 1 -1.087
6 1 2 -1.087
6 1 3 -1.087
6 1 4 -1.087
6 1 5 -1.087
6 1 6 -1.087
6 1 7 -1.087
6 1 8 -1.087
6 1 9 -1.087
6 1 10 -1.087
7 1 2 1.469
7 1 3 1.469
7 1 4 1.469
7 1 5 1.469
7 1 6 1.469
7 1 7 1.469
7 1 8 1.469
7 1 9 1.469
7 1 10 1.469
8 1 1 -1.589
8 1 2 -1.589
8 1 3 -1.589
8 1 4 -1.589
8 1 5 -1.589
8 1 6 -1.589
8 1 7 -1.589
8 1 8 -1.589
8 1 10 -1.589
9 1 1 -0.748
9 1 2 -0.748
9 1 3 -0.748
9 1 4 -0.748
9 1 7 -0.748
9 1 8 -0.748
9 1 9 -0.748
9 1 10 -0.748
10 1 1 -0.242
10 1 2 -0.242
10 1 3 -0.242
10 1 4 -0.242
10 1 5 -0.242
10 1 6 -0.242
10 1 7 -0.242
10 1 8 -0.242
11 1 2 0.567
11 1 3 0.567
11 1 4 0.567
11 1 5 0.567
11 1 6 0.567
11 1 7 0.567
11 1 8 0.567
11 1 9 0.567
11 1 10 0.567
12 1 1 0.296
12 1 3 0.296
12 1 4 0.296
12 1 5 0.296
12 1 6 0.296
12 1 7 0.296
12 1 8 0.296
12 1 9 0.296
12 1 10 0.296
13 1 1 -1.864
13 1 2 -1.864
13 1 3 -1.864
13 1 4 -1.864
13 1 5 -1.864
13 1 7 -1.864
13 1 8 -1.864
13 1 9 -1.864
13 1 10 -1.864
14 1 1 -1.592
14 1 3 -1.592
14 1 4 -1.592
14 1 6 -1.592
14 1 7 -1.592
14 1 8 -1.592
14 1 9 -1.592
15 1 1 -0.907
15 1 2 -0.907
15 1 4 -0.907
15 1 5 -0.907
15 1 6 -0.907
15 1 7 -0.907
15 1 8 -0.907
15 1 9 -0.907
15 1 10 -0.907
16 1 1 -0.999
16 1 2 -0.999
16 1 3 -0.999
16 1 4 -0.999
16 1 5 -0.999
16 1 6 -0.999
16 1 7 -0.999
16 1 8 -0.999
16 1 9 -0.999
16 1 10 -0.999
17 1 2 1.425
17 1 3 1.425
17 1 4 1.425
17 1 5 1.425
17 1 6 1.425
17 1 7 1.425
17 1 8 1.425
17 1 9 1.425
17 1 10 1.425
18 1 2 -0.421
18 1 3 -0.421
18 1 4 -0.421
18 1 5 -0.421
18 1 6 -0.421
18 1 7 -0.421
18 1 9 -0.421
18 1 10 -0.421
19 1 1 -1.102
19 1 2 -1.102
19 1 4 -1.102
19 1 5 -1.102
19 1 6 -1.102
19 1 8 -1.102
20 1 1 -0.088
20 1 2 -0.088
20 1 4 -0.088
20 1 5 -0.088
20 1 6 -0.088
20 1 7 -0.088
20 1 8 -0.088
20 1 9 -0.088
20 1 10 -0.088
21 1 1 -0.057
21 1 2 -0.057
21 1 3 -0.057
21 1 6 -0.057
21 1 7 -0.057
21 1 8 -0.057
21 1 9 -0.057
21 1 10 -0.057
22 1 1 0.904
22 1 2 0.904
22 1 3 0.904
22 1 4 0.904
22 1 5 0.904
22 1 6 0.904
22 1 7 0.904
22 1 8 0.904
22 1 9 0.904
22 1 10 0.904
23 1 1 -0.567
23 1 2 -0.567
23 1 3 -0.567
23 1 4 -0.567
23 1 5 -0.567
23 1 6 -0.567
23 1 7 -0.567
23 1 8 -0.567
23 1 9 -0.567
23 1 10 -0.567
24 1 1 1.115
24 1 2 1.115
24 1 3 1.115
24 1 4 1.115
24 1 5 1.115
24 1 6 1.115
24 1 7 1.115
24 1 8 1.115
24 1 9 1.115
24 1 10 1.115
25 1 2 -0.342
25 1 3 -0.342
25 1 4 -0.342
25 1 5 -0.342
25 1 6 -0.342
25 1 7 -0.342
25 1 8 -0.342
25 1 9 -0.342
25 1 10 -0.342
26 1 2 -0.084
26 1 3 -0.084
26 1 5 -0.084
26 1 7 -0.084
26 1 8 -0.084
26 1 9 -0.084
27 1 1 -0.001
27 1 2 -0.001
27 1 3 -0.001
27 1 4 -0.001
27 1 6 -0.001
27 1 7 -0.001
27 1 10 -0.001
28 1 1 -0.442
28 1 2 -0.442
28 1 3 -0.442
28 1 4 -0.442
28 1 5 -0.442
28 1 6 -0.442
28 1 8 -0.442
28 1 9 -0.442
28 1 10 -0.442
29 1 1 0.687
29 1 2 0.687
29 1 3 0.687
29 1 6 0.687
29 1 7 0.687
29 1 10 0.687
30 1 1 0.805
30 1 2 0.805
30 1 3 0.805
30 1 4 0.805
30 1 5 0.805
30 1 6 0.805
30 1 7 0.805
30 1 8 0.805
30 1 9 0.805
30 1 10 0.805
31 1 1 0.498
31 1 3 0.498
31 1 5 0.498
31 1 6 0.498
31 1 7 0.498
32 1 1 -0.143
32 1 4 -0.143
32 1 5 -0.143
32 1 6 -0.143
32 1 7 -0.143
32 1 9 -0.143
32 1 10 -0.143
33 1 1 0.014
33 1 2 0.014
33 1 4 0.014
33 1 5 0.014
33 1 6 0.014
33 1 7 0.014
33 1 8 0.014
33 1 9 0.014
33 1 10 0.014
34 1 1 1.551
34 1 2 1.551
34 1 3 1.551
34 1 4 1.551
34 1 5 1.551
34 1 6 1.551
34 1 7 1.551
34 1 8 1.551
34 1 10 1.551
35 1 1 -1.156
35 1 2 -1.156
35 1 6 -1.156
35 1 7 -1.156
35 1 8 -1.156
35 1 9 -1.156
36 1 3 0.597
36 1 4 0.597
36 1 5 0.597
36 1 6 0.597
36 1 8 0.597
36 1 9 0.597
36 1 10 0.597
37 1 1 1.085
37 1 2 1.085
37 1 3 1.085
37 1 4 1.085
37 1 5 1.085
37 1 6 1.085
37 1 7 1.085
37 1 8 1.085
37 1 9 1.085
38 1 1 -1.275
38 1 2 -1.275
38 1 3 -1.275
38 1 4 -1.275
38 1 5 -1.275
38 1 6 -1.275
38 1 7 -1.275
38 1 9 -1.275
38 1 10 -1.275
39 1 1 0.371
39 1 3 0.371
39 1 4 0.371
39 1 5 0.371
39 1 7 0.371
39 1 8 0.371
39 1 9 0.371
39 1 10 0.371
40 1 2 1.542
40 1 3 1.542
40 1 4 1.542
40 1 6 1.542
40 1 7 1.542
40 1 8 1.542
40 1 9 1.542
40 1 10 1.542
41 1 2 1.265
41 1 4 1.265
41 1 5 1.265
41 1 6 1.265
41 1 7 1.265
41 1 9 1.265
41 1 10 1.265
42 1 1 0.945
42 1 2 0.945
42 1 3 0.945
42 1 4 0.945
42 1 5 0.945
42 1 6 0.945
42 1 7 0.945
42 1 8 0.945
42 1 9 0.945
43 1 1 -0.141
43 1 2 -0.141
43 1 3 -0.141
43 1 4 -0.141
43 1 6 -0.141
43 1 7 -0.141
43 1 9 -0.141
43 1 10 -0.141
44 1 1 0.012
44 1 2 0.012
44 1 3 0.012
44 1 4 0.012
44 1 5 0.012
44 1 6 0.012
44 1 7 0.012
44 1 8 0.012
44 1 9 0.012
44 1 10 0.012
45 1 1 -0.573
45 1 2 -0.573
45 1 3 -0.573
45 1 4 -0.573
45 1 5 -0.573
45 1 6 -0.573
45 1 7 -0.573
45 1 9 -0.573
45 1 10 -0.573
46 1 1 -1.234
46 1 2 -1.234
46 1 3 -1.234
46 1 4 -1.234
46 1 7 -1.234
46 1 8 -1.234
46 1 9 -1.234
46 1 10 -1.234
47 1 1 -0.922
47 1 4 -0.922
47 1 5 -0.922
47 1 7 -0.922
47 1 8 -0.922
47 1 9 -0.922
47 1 10 -0.922
