"Subj" "x0" "x1" "x2"
1 1 1 -0.829
1 1 2 -0.829
1 1 4 -0.829
1 1 6 -0.829
1 1 7 -0.829
1 1 8 -0.829
1 1 9 -0.829
1 1 10 -0.829
2 1 2 -0.515
2 1 3 -0.515
2 1 4 -0.515
2 1 5 -0.515
2 1 6 -0.515
2 1 7 -0.515
3 1 2 1.38
3 1 5 1.38
3 1 6 1.38
3 1 8 1.38
3 1 9 1.38
3 1 10 1.38
4 1 1 0.364
4 1 3 0.364
4 1 5 0.364
4 1 6 0.364
4 1 8 0.364
4 1 9 0.364
4 1 10 0.364
5 1 1 -1.334
5 1 2 -1.334
5 1 3 -1.334
5 1 4 -1.334
5 1 5 -1.334
5 1 6 -1.334
5 1 8 -1.334
5 1 9 -1.334
5 1 10 -1.334
6 1 1 0.989
6 1 2 0.989
6 1 3 0.989
6 1 4 0.989
6 1 5 0.989
6 1 8 0.989
6 1 9 0.989
7 1 1 0.73
7 1 2 0.73
7 1 4 0.73
7 1 5 0.73
7 1 6 0.73
7 1 7 0.73
7 1 8 0.73
7 1 9 0.73
7 1 10 0.73
8 1 1 0.15
8 1 2 0.15
8 1 4 0.15
8 1 5 0.15
8 1 6 0.15
8 1 7 0.15
8 1 9 0.15
8 1 10 0.15
9 1 1 1.275
9 1 2 1.275
9 1 3 1.275
9 1 4 1.275
9 1 6 1.275
9 1 7 1.275
9 1 9 1.275
9 1 10 1.275
10 1 1 -0.21
10 1 3 -0.21
10 1 4 -0.21
10 1 6 -0.21
10 1 7 -0.21
10 1 8 -0.21
10 1 9 -0.21
10 1 10 -0.21
11 1 2 -0.66
11 1 3 -0.66
11 1 6 -0.66
11 1 7 -0.66
11 1 8 -0.66
11 1 9 -0.66
11 1 10 -0.66
12 1 1 -0.282
12 1 3 -0.282
12 1 7 -0.282
12 1 9 -0.282
12 1 10 -0.282
13 1 1 0.173
13 1 2 0.173
13 1 3 0.173
13 1 4 0.173
13 1 5 0.173
13 1 6 0.173
13 1 7 0.173
13 1 9 0.173
14 1 1 0.124
14 1 2 0.124
14 1 3 0.124
14 1 4 0.124
14 1 5 0.124
14 1 6 0.124
14 1 7 0.124
14 1 8 0.124
14 1 10 0.124
15 1 1 -0.341
15 1 2 -0.341
15 1 3 -0.341
15 1 4 -0.341
15 1 5 -0.341
15 1 6 -0.341
15 1 9 -0.341
15 1 10 -0.341
16 1 2 0.103
16 1 3 0.103
16 1 5 0.103
16 1 6 0.103
16 1 7 0.103
16 1 8 0.103
16 1 9 0.103
16 1 10 0.103
17 1 1 -0.176
17 1 2 -0.176
17 1 3 -0.176
17 1 4 -0.176
17 1 5 -0.176
17 1 7 -0.176
17 1 8 -0.176
17 1 9 -0.176
18 1 1 2.445
18 1 2 2.445
18 1 3 2.445
18 1 4 2.445
18 1 5 2.445
18 1 6 2.445
18 1 7 2.445
18 1 8 2.445
18 1 9 2.445
19 1 1 -0.402
19 1 2 -0.402
19 1 3 -0.402
19 1 5 -0.402
19 1 6 -0.402
19 1 8 -0.402
19 1 10 -0.402
20 1 1 0.461
20 1 2 0.461
20 1 3 0.461
20 1 4 0.461
20 1 5 0.461
20 1 6 0.461
20 1 9 0.461
20 1 10 0.461
21 1 2 -0.883
21 1 3 -0.883
21 1 4 -0.883
21 1 7 -0.883
21 1 9 -0.883
21 1 10 -0.883
22 1 1 -1.408
22 1 2 -1.408
22 1 3 -1.408
22 1 4 -1.408
22 1 6 -1.408
22 1 7 -1.408
22 1 8 -1.408
22 1 9 -1.408
22 1 10 -1.408
23 1 1 -0.095
23 1 2 -0.095
23 1 3 -0.095
23 1 4 -0.095
23 1 6 -0.095
23 1 7 -0.095
23 1 8 -0.095
23 1 9 -0.095
23 1 10 -0.095
24 1 1 -1.286
24 1 2 -1.286
24 1 4 -1.286
24 1 5 -1.286
24 1 6 -1.286
24 1 7 -1.286
24 1 8 -1.286
24 1 9 -1.286
24 1 10 -1.286
25 1 1 1.238
25 1 2 1.238
25 1 3 1.238
25 1 4 1.238
25 1 5 1.238
25 1 7 1.238
25 1 8 1.238
25 1 9 1.238
26 1 1 -0.426
26 1 2 -0.426
26 1 3 -0.426
26 1 4 -0.426
26 1 5 -0.426
26 1 7 -0.426
26 1 8 -0.426
26 1 9 -0.426
27 1 1 -1.066
27 1 2 -1.066
27 1 3 -1.066
27 1 4 -1.066
27 1 5 -1.066
27 1 6 -1.066
27 1 7 -1.066
27 1 8 -1.066
27 1 10 -1.066
28 1 1 -0.138
28 1 2 -0.138
28 1 3 -0.138
28 1 6 -0.138
28 1 7 -0.138
28 1 8 -0.138
28 1 10 -0.138
29 1 2 0.532
29 1 3 0.532
29 1 4 0.532
29 1 5 0.532
29 1 6 0.532
29 1 7 0.532
29 1 8 0.532
29 1 9 0.532
29 1 10 0.532
30 1 1 0.863
30 1 2 0.863
30 1 3 0.863
30 1 4 0.863
30 1 5 0.863
30 1 6 0.863
30 1 7 0.863
30 1 8 0.863
30 1 9 0.863
30 1 10 0.863
31 1 1 -1.437
31 1 2 -1.437
