"Subj" "x0" "x1" "x2"
1 1 1 1.606
1 1 2 1.606
1 1 4 1.606
1 1 6 1.606
1 1 7 1.606
1 1 8 1.606
1 1 9 1.606
1 1 10 1.606
2 1 1 1.181
2 1 2 1.181
2 1 3 1.181
2 1 6 1.181
2 1 7 1.181
2 1 8 1.181
2 1 9 1.181
2 1 10 1.181
3 1 1 -1.792
3 1 2 -1.792
3 1 3 -1.792
3 1 4 -1.792
3 1 5 -1.792
3 1 6 -1.792
3 1 7 -1.792
3 1 8 -1.792
3 1 9 -1.792
3 1 10 -1.792
4 1 1 -0.742
4 1 2 -0.742
4 1 6 -0.742
4 1 9 -0.742
5 1 1 0.423
5 1 2 0.423
5 1 3 0.423
5 1 4 0.423
5 1 5 0.423
5 1 6 0.423
5 1 7 0.423
5 1 8 0.423
5 1 10 0.423
6 1 1 0.433
6 1 2 0.433
6 1 3 0.433
6 1 5 0.433
6 1 6 0.433
6 1 7 0.433
6 1 9 0.433
6 1 10 0.433
7 1 1 0.308
7 1 3 0.308
7 1 5 0.308
7 1 6 0.308
7 1 7 0.308
7 1 8 0.308
7 1 9 0.308
8 1 1 -1.093
8 1 3 -1.093
8 1 5 -1.093
8 1 7 -1.093
8 1 8 -1.093
8 1 9 -1.093
8 1 10 -1.093
9 1 1 1.856
9 1 2 1.856
9 1 3 1.856
9 1 4 1.856
9 1 5 1.856
9 1 6 1.856
9 1 7 1.856
9 1 8 1.856
9 1 9 1.856
9 1 10 1.856
10 1 1 -1.211
10 1 2 -1.211
10 1 3 -1.211
10 1 4 -1.211
10 1 5 -1.211
10 1 6 -1.211
10 1 7 -1.211
10 1 8 -1.211
10 1 9 -1.211
10 1 10 -1.211
11 1 1 0.31
11 1 4 0.31
11 1 6 0.31
11 1 7 0.31
11 1 8 0.31
11 1 9 0.31
11 1 10 0.31
12 1 1 -0.974
12 1 2 -0.974
12 1 3 -0.974
12 1 5 -0.974
12 1 6 -0.974
12 1 7 -0.974
12 1 9 -0.974
12 1 10 -0.974
13 1 1 0.786
13 1 2 0.786
13 1 3 0.786
13 1 5 0.786
13 1 6 0.786
13 1 7 0.786
13 1 10 0.786
14 1 1 1.472
14 1 2 1.472
14 1 3 1.472
14 1 4 1.472
14 1 5 1.472
14 1 6 1.472
14 1 7 1.472
14 1 8 1.472
14 1 10 1.472
15 1 1 -1.236
15 1 2 -1.236
15 1 3 -1.236
15 1 4 -1.236
15 1 5 -1.236
15 1 7 -1.236
15 1 8 -1.236
15 1 10 -1.236
16 1 1 -0.383
16 1 2 -0.383
16 1 5 -0.383
16 1 6 -0.383
16 1 7 -0.383
16 1 8 -0.383
16 1 9 -0.383
16 1 10 -0.383
17 1 1 0.275
17 1 2 0.275
17 1 3 0.275
17 1 5 0.275
17 1 6 0.275
17 1 7 0.275
17 1 8 0.275
17 1 9 0.275
17 1 10 0.275
18 1 1 -1.179
18 1 2 -1.179
18 1 5 -1.179
18 1 6 -1.179
18 1 7 -1.179
18 1 8 -1.179
18 1 10 -1.179
19 1 1 -0.523
19 1 2 -0.523
19 1 3 -0.523
19 1 4 -0.523
19 1 5 -0.523
19 1 7 -0.523
19 1 8 -0.523
19 1 10 -0.523
20 1 1 0.135
20 1 2 0.135
20 1 3 0.135
20 1 4 0.135
20 1 5 0.135
20 1 6 0.135
20 1 8 0.135
20 1 9 0.135
20 1 10 0.135
